Emilia-Romagna (NUTS 2006),italy
Toscana (NUTS 2006),italy
Umbria (NUTS 2006),italy
Marche (NUTS 2006),italy
Lazio (NUTS 2006),italy
Abruzzo,italy
Molise,italy
Campania,italy
Puglia,italy
Basilicata,italy
Calabria,italy
Sicilia,italy
Sardegna,italy
Provincia Autonoma di Bolzano/Bozen,italy
Provincia Autonoma di Trento,italy
Veneto,italy
Friuli-Venezia Giulia,italy
Emilia-Romagna,italy
Toscana,italy
Umbria,italy
Marche,italy
Lazio,italy
Kýpros,cyprus
Latvija,latvia
Sostinės regionas,lithuania
Vidurio ir vakarų Lietuvos regionas,lithuania
Luxembourg,luxembourg
Budapest,hungary
Pest,hungary
Közép-Magyarország (NUTS 2013),hungary
Közép-Dunántúl,hungary
Nyugat-Dunántúl,hungary
Dél-Dunántúl,hungary
Észak-Magyarország,hungary
Észak-Alföld,hungary
Dél-Alföld,hungary
Malta,matla
Groningen,netherlands
Friesland (NL),netherlands
Drenthe,netherlands
Overijssel,netherlands
Gelderland,netherlands
Flevoland,netherlands
Utrecht (NUTS 2021),netherlands
Noord-Holland,netherlands
Zuid-Holland (NUTS 2021),netherlands
Zeeland,netherlands
Utrecht,netherlands
Zuid-Holland,netherlands
Noord-Brabant,netherlands
Limburg (NL),netherlands
Burgenland,austria
Niederösterreich,austria
Wien,austria
Kärnten,austria
Steiermark,austria
Oberösterreich,austria
Salzburg,austria
Tirol,austria
Vorarlberg,austria
Lódzkie (NUTS 2013),poland
Mazowieckie (NUTS 2013),poland
Małopolskie,poland
Śląskie,poland
Lubelskie (NUTS 2013),poland
Podkarpackie (NUTS 2013),poland
Swietokrzyskie (NUTS 2013),poland
Podlaskie (NUTS 2013),poland
Wielkopolskie,poland
Zachodniopomorskie,poland
Lubuskie,poland
Dolnośląskie,poland
Opolskie,poland
Kujawsko-pomorskie,poland
Warmińsko-mazurskie,poland
Pomorskie,poland
Łódzkie,poland
Świętokrzyskie,poland
Lubelskie,poland
Podkarpackie,poland
Podlaskie,poland
Warszawski stołeczny,poland
Mazowiecki regionalny,poland
Norte,portugal
Algarve,portugal
Centro (PT) (NUTS 2021),portugal
Área Metropolitana de Lisboa (NUTS 2021),portugal
Alentejo (NUTS 2021),portugal
Centro (PT),portugal
Grande Lisboa,portugal
Península de Setúbal,portugal
Alentejo,portugal
Oeste e Vale do Tejo,portugal
Região Autónoma dos Açores,portugal
Região Autónoma da Madeira,portugal
Nord-Vest,romania
Centru,romania
Nord-Est,romania
Sud-Est,romania
Sud-Muntenia,romania
Bucureşti-Ilfov,romania
Sud-Vest Oltenia,romania
Vest,romania
Vzhodna Slovenija,solvenia
Vzhodna Slovenija (NUTS 2010),solvenia
Zahodna Slovenija,solvenia
Zahodna Slovenija (NUTS 2010),solvenia
Bratislavský kraj,slovakia
Západné Slovensko,slovakia
Stredné Slovensko,slovakia
Východné Slovensko,slovakia
Itä-Suomi (NUTS 2006),finland
Etelä-Suomi (NUTS 2006),finland
Länsi-Suomi,finland
Pohjois-Suomi (NUTS 2006),finland
Helsinki-Uusimaa,finland
Etelä-Suomi,finland
Pohjois- ja Itä-Suomi,finland
Åland,finland
Stockholm,sweden
Östra Mellansverige,sweden
Småland med öarna,sweden
Sydsverige,sweden
Västsverige,sweden
Norra Mellansverige,sweden
Mellersta Norrland,sweden
Övre Norrland,sweden
Ísland,iceland
Oslo og Akershus (statistical region 2016),norway
Innlandet,norway
Sør-Østlandet (statistical region 2016),norway
Agder og Rogaland (statistical region 2016),norway
Vestlandet (statistical region 2016),norway
Trøndelag,norway
Nord-Norge,norway
Oslo og Viken,norway
Agder og Sør-Østlandet,norway
Vestlandet,norway
Svalbard og Jan Mayen,norway
Région lémanique,switzerland
Espace Mittelland,switzerland
Nordwestschweiz,switzerland
Zürich,switzerland
Ostschweiz,switzerland
Zentralschweiz,switzerland
Ticino,switzerland
Tees Valley and Durham (NUTS 2021),united kingdom
Northumberland and Tyne and Wear (NUTS 2021),united kingdom
Cumbria (NUTS 2021),united kingdom
Greater Manchester (NUTS 2021),united kingdom
Lancashire (NUTS 2021),united kingdom
Cheshire (NUTS 2021),united kingdom
Merseyside (NUTS 2021),united kingdom
East Yorkshire and Northern Lincolnshire (NUTS 2021),united kingdom
North Yorkshire (NUTS 2021),united kingdom
South Yorkshire (NUTS 2021),united kingdom
West Yorkshire (NUTS 2021),united kingdom
Derbyshire and Nottinghamshire (NUTS 2021),united kingdom
"Leicestershire, Rutland and Northamptonshire (NUTS 2021)",united kingdom
Lincolnshire (NUTS 2021),united kingdom
"Herefordshire, Worcestershire and Warwickshire (NUTS 2021)",united kingdom
Shropshire and Staffordshire (NUTS 2021),united kingdom
West Midlands (NUTS 2021),united kingdom
East Anglia (NUTS 2021),united kingdom
Bedfordshire and Hertfordshire (NUTS 2021),united kingdom
Essex (NUTS 2021),united kingdom
Inner London (NUTS 2010),united kingdom
Outer London (NUTS 2010),united kingdom
Inner London - West (NUTS 2021),united kingdom
Inner London - East (NUTS 2021),united kingdom
Outer London - East and North East (NUTS 2021),united kingdom
Outer London - South (NUTS 2021),united kingdom
Outer London - West and North West (NUTS 2021),united kingdom
"Berkshire, Buckinghamshire and Oxfordshire (NUTS 2021)",united kingdom
"Surrey, East and West Sussex (NUTS 2021)",united kingdom
Hampshire and Isle of Wight (NUTS 2021),united kingdom
Kent (NUTS 2021),united kingdom
"Gloucestershire, Wiltshire and Bristol/Bath area (NUTS 2021)",united kingdom
Dorset and Somerset (NUTS 2021),united kingdom
Cornwall and Isles of Scilly (NUTS 2021),united kingdom
Devon (NUTS 2021),united kingdom
West Wales and The Valleys (NUTS 2021),united kingdom
East Wales (NUTS 2021),united kingdom
Eastern Scotland (NUTS 2013),united kingdom
South Western Scotland (NUTS 2013),united kingdom
North Eastern Scotland (NUTS 2021),united kingdom
Highlands and Islands (NUTS 2021),united kingdom
Eastern Scotland (NUTS 2021),united kingdom
West Central Scotland (NUTS 2021),united kingdom
Southern Scotland (NUTS 2021),united kingdom
Northern Ireland (UK) (NUTS 2021),united kingdom
Crna Gora,montenegro
Severna Makedonija,north macedonia
Veri,albania
Qender,albania
Jug,albania
Beogradski region,serbia
Region Vojvodine,serbia
Region Sumadije i Zapadne Srbije,serbia
Region Juzne i Istocne Srbije,serbia
İstanbul,türkiye
"Tekirdağ, Edirne, Kırklareli",türkiye
"Balıkesir, Çanakkale",türkiye
İzmir,türkiye
"Aydın, Denizli, Muğla",türkiye
"Manisa, Afyonkarahisar, Kütahya, Uşak",türkiye
"Bursa, Eskişehir, Bilecik",türkiye
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",türkiye
Ankara,türkiye
"Konya, Karaman",türkiye
"Antalya, Isparta, Burdur",türkiye
"Adana, Mersin",türkiye
"Hatay, Kahramanmaraş, Osmaniye",türkiye
"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",türkiye
"Kayseri, Sivas, Yozgat",türkiye
"Zonguldak, Karabük, Bartın",türkiye
"Kastamonu, Çankırı, Sinop",türkiye
"Samsun, Tokat, Çorum, Amasya",türkiye
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",türkiye
"Erzurum, Erzincan, Bayburt",türkiye
"Ağrı, Kars, Iğdır, Ardahan",türkiye
"Malatya, Elazığ, Bingöl, Tunceli",türkiye
"Van, Muş, Bitlis, Hakkari",türkiye
"Gaziantep, Adıyaman, Kilis",türkiye
"Şanlıurfa, Diyarbakır",türkiye
"Mardin, Batman, Şırnak, Siirt",türkiye
