| Column  | Crop Type  |
| 50 | Area_Other_permanent_crops_for_human_consumption_nec |
| 51 | Area_Plants_harvested_green_from_arable_land |
| 52 | Area_Winter_cereal_mixtures_maslin |
| 53 | Area_Oats |
| 54 | Harv_Winter_cereal_mixtures_maslin |
| 55 | Harv_Broad_and_field_beans |
| 56 | Harv_Oats |
| 57 | Harv_Winter_rape_and_turnip_rape_seeds |
| 58 | Harv_Triticale |
| 59 | Area_Winter_rape_and_turnip_rape_seeds |
| 60 | Area_Broad_and_field_beans |
| 61 | Area_Triticale |
| 62 | Area_Industrial_crops |
| 63 | Harv_Hemp |
| 64 | Area_Winter_barley |
| 65 | Area_Common_winter_wheat_and_spelt |
| 66 | Harv_Winter_barley |
| 67 | Harv_Rape_turnip_rape_sunflower_seeds_and_soya |
| 68 | Area_Leguminous_plants_harvested_green |
| 69 | Harv_Common_winter_wheat_and_spelt |
| 70 | Area_Aromatic_medicinal_and_culinary_plants |
| 71 | Area_Rape_turnip_rape_sunflower_seeds_and_soya |
| 72 | Area_Rice_Indica |
| 73 | Harv_Field_peas |
| 74 | Area_Field_peas |
| 75 | Harv_Rice_Indica |
| 76 | Area_Rice_Japonica |
| 77 | Area_Spring_cereal_mixtures_mixed_grain_other_than_maslin |
| 78 | Harv_Cereals_excluding_rice_for_the_production_of_grain_including_seed |
| 79 | Harv_Spring_cereal_mixtures_mixed_grain_other_than_maslin |
| 80 | Area_Cereals_excluding_rice_for_the_production_of_grain_including_seed |
| 81 | Harv_Aromatic_medicinal_and_culinary_plants |
| 82 | Harv_Leguminous_plants_harvested_green |
| 83 | Harv_Rice_Japonica |
| 84 | Area_Temporary_grasses_and_grazings |
| 85 | Area_Hemp |
| 86 | Area_Citrus_fruits |
| 87 | Harv_Citrus_fruits |
| 88 | Area_Other_industrial_crops_nec |
| 89 | Area_Olives |
| 90 | Harv_Olives |
| 91 | Harv_Hops |
| 92 | Harv_Plants_harvested_green_from_arable_land |
| 93 | Area_Other_dry_pulses_and_protein_crops_nec |
| 94 | Harv_Other_cereals_nec_buckwheat_millet_canary_seed_etc |
| 95 | Area_Hops |
| 96 | Area_Other_cereals_nec_buckwheat_millet_canary_seed_etc |
| 97 | Harv_Fibre_crops |
| 98 | Harv_Temporary_grasses_and_grazings |
| 99 | Harv_Other_dry_pulses_and_protein_crops_nec |
| 100 | Area_Spring_rape_and_turnip_rape_seeds |
| 101 | Area_Cotton_seed |
| 102 | Area_Other_root_crops_nec |
| 103 | Area_Fibre_crops |
| 104 | Harv_Spring_rape_and_turnip_rape_seeds |
| 105 | Harv_Other_root_crops_nec |
| 106 | Harv_Common_spring_wheat_and_spelt |
| 107 | Harv_Other_oilseed_crops_nec |
| 108 | Area_Common_spring_wheat_and_spelt |
| 109 | Area_Other_leguminous_plants_harvested_green_nec |
| 110 | Harv_Other_industrial_crops_nec |
| 111 | Harv_Other_leguminous_plants_harvested_green_nec |
| 112 | Area_Spring_barley |
| 113 | Area_Other_oilseed_crops_nec |
| 114 | Area_Root_crops |
| 115 | Harv_Industrial_crops |
| 116 | Area_Lucerne |
| 117 | Harv_Lucerne |
| 118 | Harv_Spring_barley |
| 119 | Harv_Root_crops |
| 120 | Harv_Grapes |
| 121 | Area_Grapes |
| 122 | Harv_Other_plants_harvested_green_from_arable_land_nec |
| 123 | Area_Other_plants_harvested_green_from_arable_land_nec |
| 124 | Area_Clover_and_mixtures |
| 125 | Area_Rye |
| 126 | Harv_Clover_and_mixtures |
| 127 | Harv_Rye |
| 128 | Area_Fresh_vegetables_including_melons_and_strawberries |
| 129 | Area_Fruits_berries_and_nuts_excluding_citrus_fruits_grapes_and_strawberries |
| 130 | Harv_Fresh_vegetables_including_melons_and_strawberries |
| 131 | Area_Oilseeds |
| 132 | Harv_Oilseeds |
| 133 | Area_Oats_and_spring_cereal_mixtures_mixed_grain_other_than_maslin |
| 134 | Harv_Oats_and_spring_cereal_mixtures_mixed_grain_other_than_maslin |
| 135 | Harv_Fruits_berries_and_nuts_excluding_citrus_fruits_grapes_and_strawberries |
| 136 | Harv_Wheat_and_spelt |
| 137 | Area_Wheat_and_spelt |
| 138 | Harv_Arable_land |
| 139 | Area_Utilised_agricultural_area |
| 140 | Harv_Utilised_agricultural_area |
| 141 | Area_Flowers_and_ornamental_plants_excluding_nurseries |
| 142 | Area_Seeds_and_seedlings |
| 143 | Area_Kitchen_gardens |
| 144 | Harv_Kitchen_gardens |
| 145 | Area_Nurseries |
| 146 | Harv_Nurseries |
| 147 | Area_Other_arable_land_crops_nec |
| 148 | Harv_Other_arable_land_crops_nec |
| 149 | Area_Other_permanent_crops |
| 150 | Harv_Other_permanent_crops |
| 151 | Area_Permanent_crops |
| 152 | Harv_Permanent_crops |
| 153 | Area_Permanent_grassland |
| 154 | Harv_Permanent_grassland |
| 155 | Harv_Flowers_and_ornamental_plants_excluding_nurseries |
| 156 | Harv_Fallow_land |
| 157 | Area_Fallow_land |
| 158 | Harv_Seeds_and_seedlings |
| 159 | Area_Arable_land |
